,year,month,state,sentiment,frequency
841,2017,6,FL,,0.0
842,2017,7,FL,0.0,7.0
843,2017,8,FL,0.048888888888888885,9.0
844,2017,9,FL,0.125,6.0
845,2017,10,FL,0.19225490196078432,17.0
846,2017,11,FL,0.0,3.0
847,2017,12,FL,0.10896464646464647,6.0
848,2018,1,FL,0.1345679012345679,9.0
849,2018,2,FL,0.07796717171717171,5.0
850,2018,3,FL,0.14546130952380948,16.0
851,2018,4,FL,0.10833333333333334,4.0
852,2018,5,FL,0.20041666666666663,5.0
853,2018,6,FL,0.15494397095959594,8.0
854,2018,7,FL,0.075,2.0
855,2018,8,FL,0.13229166666666667,4.0
